"id:ID","contentRaw","createdAt","originalBrand","originalCpu","originalHardDrive","originalName","originalRam","originalVideoCard","sourceFile","sourceLine",":LABEL"
"doc_laptop_thinkpad_x1_carbon_gen_10","INSERT INTO laptops VALUES ('ThinkPad X1 Carbon Gen 10', 'Lenovo', 'i9', 'Nvidia 30xx', 13, '32G', '1T', 2499.0, 'Fantastic Lenovo easy to carry laptop for daily usage and video editing. Perfect for professionals who need powerful performance in a lightweight design. Features advanced cooling system and premium build quality.');","2025-07-31T22:07:41.387885","Lenovo","i9","1T","ThinkPad X1 Carbon Gen 10","32G","Nvidia 30xx","laptop-data.sql","2","D_LaptopSpec"
"doc_laptop_thinkpad_t14s_gen_3","INSERT INTO laptops VALUES ('ThinkPad T14s Gen 3', 'Lenovo', 'I7', 'NVIDIA 30xx', 15, '16GB', '1TB', 1899.0, 'Exceptional business laptop with robust security features and excellent keyboard. Ideal for office work, programming, and light content creation. Military-grade durability testing ensures reliability.');","2025-07-31T22:07:41.388889","Lenovo","I7","1TB","ThinkPad T14s Gen 3","16GB","NVIDIA 30xx","laptop-data.sql","3","D_LaptopSpec"
"doc_laptop_thinkpad_p1_gen_5","INSERT INTO laptops VALUES ('ThinkPad P1 Gen 5', 'Lenovo', 'Intel i9', 'Nvidia 40xx', 16, '64G', '2T', 3299.0, 'Ultimate workstation laptop for CAD, 3D rendering, and professional video editing. Features ISV certification and premium display technology. Built for demanding creative professionals and engineers.');","2025-07-31T22:07:41.388889","Lenovo","Intel i9","2T","ThinkPad P1 Gen 5","64G","Nvidia 40xx","laptop-data.sql","4","D_LaptopSpec"
"doc_laptop_thinkpad_e15_gen_4","INSERT INTO laptops VALUES ('ThinkPad E15 Gen 4', 'Lenovo', 'i5', 'Nvidia 30xx', 15, '16G', '1T', 1299.0, 'Affordable business laptop with solid performance for everyday tasks. Great for small businesses and students. Includes essential security features and comfortable typing experience.');","2025-07-31T22:07:41.388889","Lenovo","i5","1T","ThinkPad E15 Gen 4","16G","Nvidia 30xx","laptop-data.sql","5","D_LaptopSpec"
"doc_laptop_thinkpad_x13_yoga","INSERT INTO laptops VALUES ('ThinkPad X13 Yoga', 'Lenovo', 'I7', 'GeForce RTX 30xx', 13, '32GB', '1TB', 2199.0, 'Versatile 2-in-1 convertible laptop with touchscreen and pen support. Perfect for presentations, note-taking, and creative work. Premium build quality with flexible form factor.');","2025-07-31T22:07:41.388889","Lenovo","I7","1TB","ThinkPad X13 Yoga","32GB","GeForce RTX 30xx","laptop-data.sql","6","D_LaptopSpec"
"doc_laptop_xps_13_plus_developer_edition","INSERT INTO laptops VALUES ('XPS 13 Plus Developer Edition', 'Dell', 'i7', 'Nvidia 40xx', 13, '32G', '1T', 2299.0, 'Stunning premium ultrabook with edge-to-edge display and minimalist design. Excellent for software development, content creation, and professional work. Outstanding build quality and performance.');","2025-07-31T22:07:41.388889","Dell","i7","1T","XPS 13 Plus Developer Edition","32G","Nvidia 40xx","laptop-data.sql","8","D_LaptopSpec"
"doc_laptop_xps_15_oled_creator","INSERT INTO laptops VALUES ('XPS 15 OLED Creator', 'Dell', 'I9', 'NVIDIA RTX 40xx', 15, '64GB', '2TB', 3499.0, 'Professional creator laptop with gorgeous OLED display and powerful specs. Perfect for video editing, 3D modeling, and graphic design. Premium materials and exceptional screen quality.');","2025-07-31T22:07:41.388889","Dell","I9","2TB","XPS 15 OLED Creator","64GB","NVIDIA RTX 40xx","laptop-data.sql","9","D_LaptopSpec"
"doc_laptop_xps_17_workstation","INSERT INTO laptops VALUES ('XPS 17 Workstation', 'Dell', 'Intel Core i9', 'Nvidia 50xx', 16, '64G', '2T', 3899.0, 'Top-tier mobile workstation with massive screen and incredible performance. Ideal for professional video production, engineering, and high-end creative work. No compromises on power or quality.');","2025-07-31T22:07:41.388889","Dell","Intel Core i9","2T","XPS 17 Workstation","64G","Nvidia 50xx","laptop-data.sql","10","D_LaptopSpec"
"doc_laptop_xps_13_2_in_1","INSERT INTO laptops VALUES ('XPS 13 2-in-1', 'Dell', 'i7', 'RTX 30xx', 13, '16G', '1TB', 1999.0, 'Elegant convertible laptop with premium materials and excellent portability. Great for business professionals and creative work. Versatile form factor with touch and pen support.');","2025-07-31T22:07:41.389394","Dell","i7","1TB","XPS 13 2-in-1","16G","RTX 30xx","laptop-data.sql","11","D_LaptopSpec"
"doc_laptop_xps_15_studio","INSERT INTO laptops VALUES ('XPS 15 Studio', 'Dell', 'i9', 'Nvidia 40xx', 15, '32GB', '1T', 2899.0, 'High-performance laptop for content creators and professionals. Features color-accurate display and powerful internals. Perfect balance of performance and portability for creative workflows.');","2025-07-31T22:07:41.389394","Dell","i9","1T","XPS 15 Studio","32GB","Nvidia 40xx","laptop-data.sql","12","D_LaptopSpec"
"doc_laptop_elitebook_840_g9","INSERT INTO laptops VALUES ('EliteBook 840 G9', 'HP', 'i7', 'Nvidia 30xx', 15, '16GB', '1T', 1799.0, 'Secure business laptop with enterprise-grade features and excellent performance. Built for professionals who need reliability and security. Includes advanced management and connectivity options.');","2025-07-31T22:07:41.389394","HP","i7","1T","EliteBook 840 G9","16GB","Nvidia 30xx","laptop-data.sql","14","D_LaptopSpec"
"doc_laptop_elitebook_x360_1040_g9","INSERT INTO laptops VALUES ('EliteBook x360 1040 G9', 'HP', 'I7', 'NVIDIA 30xx', 13, '32G', '1TB', 2399.0, 'Premium convertible business laptop with 360-degree hinge and touch display. Perfect for executives and mobile professionals. Combines elegance with powerful performance and security.');","2025-07-31T22:07:41.389394","HP","I7","1TB","EliteBook x360 1040 G9","32G","NVIDIA 30xx","laptop-data.sql","15","D_LaptopSpec"
"doc_laptop_elitebook_850_g9","INSERT INTO laptops VALUES ('EliteBook 850 G9', 'HP', 'Intel i7', 'GeForce RTX 30xx', 16, '32GB', '2T', 2599.0, 'Large-screen business laptop with excellent performance and display quality. Ideal for data analysis, presentations, and multitasking. Features comprehensive security and management tools.');","2025-07-31T22:07:41.389394","HP","Intel i7","2T","EliteBook 850 G9","32GB","GeForce RTX 30xx","laptop-data.sql","16","D_LaptopSpec"
"doc_laptop_elitebook_1030_x360_g4","INSERT INTO laptops VALUES ('EliteBook 1030 x360 G4', 'HP', 'i5', 'Nvidia 30xx', 13, '16G', '1T', 1599.0, 'Compact convertible laptop perfect for business travel and presentations. Lightweight design with solid performance. Great for sales professionals and consultants who are always on the move.');","2025-07-31T22:07:41.389394","HP","i5","1T","EliteBook 1030 x360 G4","16G","Nvidia 30xx","laptop-data.sql","17","D_LaptopSpec"
"doc_laptop_elitebook_855_g8","INSERT INTO laptops VALUES ('EliteBook 855 G8', 'HP', 'I7', 'RTX 30xx', 15, '32G', '1TB', 2199.0, 'Reliable business laptop with excellent battery life and performance. Features modern connectivity and security options. Perfect for knowledge workers and business professionals.');","2025-07-31T22:07:41.389394","HP","I7","1TB","EliteBook 855 G8","32G","RTX 30xx","laptop-data.sql","18","D_LaptopSpec"
"doc_laptop_macbook_pro_13_inch_m2","INSERT INTO laptops VALUES ('MacBook Pro 13-inch M2', 'Apple', 'i7', 'Nvidia 30xx', 13, '16GB', '1T', 1999.0, 'Sleek and powerful MacBook with exceptional battery life and performance. Perfect for creative professionals and developers. Features stunning Retina display and premium build quality.');","2025-07-31T22:07:41.389394","Apple","i7","1T","MacBook Pro 13-inch M2","16GB","Nvidia 30xx","laptop-data.sql","19","D_LaptopSpec"
"doc_laptop_macbook_pro_16_inch_m2_max","INSERT INTO laptops VALUES ('MacBook Pro 16-inch M2 Max', 'Apple', 'i9', 'NVIDIA 50xx', 16, '64G', '2TB', 3999.0, 'Ultimate creative powerhouse with massive screen and incredible performance. Ideal for professional video editing, music production, and software development. Top-tier specifications and display.');","2025-07-31T22:07:41.389394","Apple","i9","2TB","MacBook Pro 16-inch M2 Max","64G","NVIDIA 50xx","laptop-data.sql","20","D_LaptopSpec"
"doc_laptop_macbook_air_m2","INSERT INTO laptops VALUES ('MacBook Air M2', 'Apple', 'i5', 'GeForce RTX 30xx', 13, '16G', '1TB', 1499.0, 'Ultra-portable laptop with excellent performance and all-day battery life. Perfect for students and professionals who need mobility. Fanless design and silent operation.');","2025-07-31T22:07:41.389394","Apple","i5","1TB","MacBook Air M2","16G","GeForce RTX 30xx","laptop-data.sql","21","D_LaptopSpec"
"doc_laptop_macbook_pro_14_inch_m2_pro","INSERT INTO laptops VALUES ('MacBook Pro 14-inch M2 Pro', 'Apple', 'I7', 'Nvidia 40xx', 15, '32GB', '1T', 2799.0, 'Professional laptop with perfect balance of performance and portability. Excellent for software development, design work, and content creation. Premium display and build quality.');","2025-07-31T22:07:41.389394","Apple","I7","1T","MacBook Pro 14-inch M2 Pro","32GB","Nvidia 40xx","laptop-data.sql","22","D_LaptopSpec"
"doc_laptop_macbook_pro_13_inch_m1","INSERT INTO laptops VALUES ('MacBook Pro 13-inch M1', 'Apple', 'i7', 'RTX 30xx', 13, '32G', '1TB', 1799.0, 'Proven performer with excellent efficiency and performance. Great for everyday professional work and creative tasks. Outstanding battery life and reliable operation.');","2025-07-31T22:07:41.389394","Apple","i7","1TB","MacBook Pro 13-inch M1","32G","RTX 30xx","laptop-data.sql","23","D_LaptopSpec"
"doc_laptop_zenbook_pro_16x_oled","INSERT INTO laptops VALUES ('ZenBook Pro 16X OLED', 'ASUS', 'i9', 'Nvidia 50xx', 16, '64GB', '2T', 3599.0, 'Flagship creator laptop with stunning OLED display and top-tier performance. Perfect for professional content creation, video editing, and 3D work. Premium materials and exceptional screen quality.');","2025-07-31T22:07:41.389394","ASUS","i9","2T","ZenBook Pro 16X OLED","64GB","Nvidia 50xx","laptop-data.sql","25","D_LaptopSpec"
"doc_laptop_zenbook_14_oled","INSERT INTO laptops VALUES ('ZenBook 14 OLED', 'ASUS', 'I7', 'NVIDIA 40xx', 15, '32G', '1TB', 1999.0, 'Beautiful ultrabook with vibrant OLED display and solid performance. Great for professionals and creatives who value display quality. Portable design with premium build materials.');","2025-07-31T22:07:41.389394","ASUS","I7","1TB","ZenBook 14 OLED","32G","NVIDIA 40xx","laptop-data.sql","26","D_LaptopSpec"
"doc_laptop_zenbook_flip_13_ux363","INSERT INTO laptops VALUES ('ZenBook Flip 13 UX363', 'ASUS', 'Intel i7', 'GeForce RTX 30xx', 13, '16GB', '1T', 1699.0, 'Versatile convertible laptop with 360-degree hinge and touchscreen. Perfect for note-taking, presentations, and creative work. Compact and portable with flexible usage modes.');","2025-07-31T22:07:41.389394","ASUS","Intel i7","1T","ZenBook Flip 13 UX363","16GB","GeForce RTX 30xx","laptop-data.sql","27","D_LaptopSpec"
"doc_laptop_zenbook_13_ux325","INSERT INTO laptops VALUES ('ZenBook 13 UX325', 'ASUS', 'i5', 'Nvidia 30xx', 13, '16G', '1TB', 1299.0, 'Affordable premium ultrabook with excellent portability and performance. Great for students and professionals who need a reliable daily driver. Lightweight with good build quality.');","2025-07-31T22:07:41.390404","ASUS","i5","1TB","ZenBook 13 UX325","16G","Nvidia 30xx","laptop-data.sql","28","D_LaptopSpec"
"doc_laptop_zenbook_pro_15_oled","INSERT INTO laptops VALUES ('ZenBook Pro 15 OLED', 'ASUS', 'i9', 'RTX 40xx', 15, '32GB', '2TB', 2899.0, 'High-performance creator laptop with color-accurate OLED display. Ideal for graphic design, video editing, and professional content creation. Excellent display and solid performance.');","2025-07-31T22:07:41.390404","ASUS","i9","2TB","ZenBook Pro 15 OLED","32GB","RTX 40xx","laptop-data.sql","29","D_LaptopSpec"
"doc_laptop_msi_ge76_raider","INSERT INTO laptops VALUES ('MSI GE76 Raider', 'MSI', 'I9', 'NVIDIA RTX 50xx', 16, '64G', '2T', 3799.0, 'Ultimate gaming powerhouse with RGB lighting and top-tier performance. Perfect for competitive gaming, streaming, and content creation. Features advanced cooling and customizable aesthetics.');","2025-07-31T22:07:41.390404","MSI","I9","2T","MSI GE76 Raider","64G","NVIDIA RTX 50xx","laptop-data.sql","30","D_LaptopSpec"
"doc_laptop_msi_gs66_stealth","INSERT INTO laptops VALUES ('MSI GS66 Stealth', 'MSI', 'Intel Core i9', 'Nvidia 50xx', 15, '32GB', '1TB', 2999.0, 'Sleek gaming laptop with understated design and powerful specs. Great for gamers who want performance without flashy aesthetics. Excellent build quality and thermal management.');","2025-07-31T22:07:41.390404","MSI","Intel Core i9","1TB","MSI GS66 Stealth","32GB","Nvidia 50xx","laptop-data.sql","31","D_LaptopSpec"
"doc_laptop_msi_katana_gf66","INSERT INTO laptops VALUES ('MSI Katana GF66', 'MSI', 'i7', 'GeForce RTX 40xx', 15, '16G', '1T', 1799.0, 'Affordable gaming laptop with solid performance for 1080p gaming. Perfect for students and casual gamers. Good value proposition with decent build quality and performance.');","2025-07-31T22:07:41.390404","MSI","i7","1T","MSI Katana GF66","16G","GeForce RTX 40xx","laptop-data.sql","32","D_LaptopSpec"
"doc_laptop_msi_creator_z16p","INSERT INTO laptops VALUES ('MSI Creator Z16P', 'MSI', 'i9', 'NVIDIA 40xx', 16, '64GB', '2TB', 3299.0, 'Professional creator laptop optimized for content creation and design work. Features color-accurate display and powerful internals. Perfect for video editors and 3D artists.');","2025-07-31T22:07:41.390404","MSI","i9","2TB","MSI Creator Z16P","64GB","NVIDIA 40xx","laptop-data.sql","33","D_LaptopSpec"
"doc_laptop_msi_prestige_14_evo","INSERT INTO laptops VALUES ('MSI Prestige 14 Evo', 'MSI', 'I7', 'RTX 30xx', 15, '32G', '1TB', 1999.0, 'Business-focused laptop with creator-friendly features and solid performance. Great for professionals who need both productivity and creative capabilities. Premium design and materials.');","2025-07-31T22:07:41.390404","MSI","I7","1TB","MSI Prestige 14 Evo","32G","RTX 30xx","laptop-data.sql","34","D_LaptopSpec"
"doc_laptop_razer_blade_15_advanced","INSERT INTO laptops VALUES ('Razer Blade 15 Advanced', 'Razer', 'i9', 'Nvidia 50xx', 15, '32GB', '1T', 3199.0, 'Premium gaming laptop with sleek design and powerful performance. Perfect for serious gamers and content creators. Exceptional build quality with understated gaming aesthetics.');","2025-07-31T22:07:41.390404","Razer","i9","1T","Razer Blade 15 Advanced","32GB","Nvidia 50xx","laptop-data.sql","35","D_LaptopSpec"
"doc_laptop_razer_blade_17","INSERT INTO laptops VALUES ('Razer Blade 17', 'Razer', 'I9', 'NVIDIA RTX 50xx', 16, '64G', '2TB', 3899.0, 'Large-screen gaming powerhouse with desktop-class performance. Ideal for competitive gaming, streaming, and professional content creation. Top-tier specifications and premium materials.');","2025-07-31T22:07:41.390404","Razer","I9","2TB","Razer Blade 17","64G","NVIDIA RTX 50xx","laptop-data.sql","36","D_LaptopSpec"
"doc_laptop_razer_blade_14","INSERT INTO laptops VALUES ('Razer Blade 14', 'Razer', 'Intel i7', 'GeForce RTX 40xx', 15, '32G', '1TB', 2499.0, 'Compact gaming laptop with excellent performance-to-size ratio. Great for mobile gaming and content creation. Premium build quality in a portable form factor.');","2025-07-31T22:07:41.390404","Razer","Intel i7","1TB","Razer Blade 14","32G","GeForce RTX 40xx","laptop-data.sql","37","D_LaptopSpec"
"doc_laptop_razer_blade_stealth_13","INSERT INTO laptops VALUES ('Razer Blade Stealth 13', 'Razer', 'i7', 'Nvidia 30xx', 13, '16GB', '1T', 1999.0, 'Ultrabook-style laptop with gaming capabilities and premium design. Perfect for professionals who occasionally game. Excellent portability with solid performance.');","2025-07-31T22:07:41.390404","Razer","i7","1T","Razer Blade Stealth 13","16GB","Nvidia 30xx","laptop-data.sql","38","D_LaptopSpec"
"doc_laptop_razer_book_13","INSERT INTO laptops VALUES ('Razer Book 13', 'Razer', 'I7', 'RTX 30xx', 13, '16G', '1TB', 1699.0, 'Productivity-focused laptop with gaming DNA and premium materials. Great for business professionals who want style and performance. Clean design with solid specifications.');","2025-07-31T22:07:41.390404","Razer","I7","1TB","Razer Book 13","16G","RTX 30xx","laptop-data.sql","39","D_LaptopSpec"
"doc_laptop_acer_aspire_5_a515","INSERT INTO laptops VALUES ('Acer Aspire 5 A515', 'Acer', 'i5', 'Nvidia 30xx', 15, '16G', '1T', 899.0, 'Affordable laptop with decent performance for everyday tasks. Perfect for students and home users. Good value proposition with solid build quality for the price point.');","2025-07-31T22:07:41.390404","Acer","i5","1T","Acer Aspire 5 A515","16G","Nvidia 30xx","laptop-data.sql","40","D_LaptopSpec"
