id,tier1,tier2,tier3,explanation
1,Joining,,,"Permanently or semi-permanently unites separate components into assemblies through metallurgical bonds, adhesives, or mechanical fasteners. Choose when parts must become a unified structure rather than remaining separable. Distinct from forming (shapes single materials without joining) and machining (removes material from workpiece). Enables multi-material assemblies impossible to create as single pieces."
2,Joining,Welding,,"Creates permanent metallurgical bonds by melting and fusing base materials at joint interface using thermal energy. Choose over brazing when joint strength must equal or exceed base metal strength. Requires temperatures above material melting point (vs brazing >450°C below melting, soldering <450°C). Produces fusion zone with intermixed base metal, not just surface adhesion."
3,Joining,Welding,Arc,"Uses electrical arc discharge between electrode and workpiece (3000-20000°C plasma) to generate fusion heat. Select for versatility across positions, portability, and diverse metals/thicknesses. Distinct from resistance welding (I²R contact heating without arc gap), gas welding (combustion flame), or beam welding (focused optical/particle energy). Requires electrode consumable or inert gas shielding."
4,Joining,Welding,Oxyfuel gas,"Combusts fuel gas (acetylene) with oxygen producing flame (~3100°C) to melt metals and filler rod. Choose for field repairs without electricity, thin materials (<6mm), or dual cutting/heating/brazing capability. Slower thermal input than arc (electrical) or laser (optical), more portable than resistance (requires electrodes/pressure). Flame adjustable for material type."
5,Joining,Welding,Electric Resistance Welding,"Generates localized heat through electrical resistance (I²R heating) where current passes through metal contact interface under clamping pressure. Select for sheet metal spot/seam welding, high-speed production (automotive), minimal surface prep. No arc gap (vs arc welding), no filler metal needed, leaves minimal visible marks. Primarily lap joint configuration."
6,Joining,Welding,Projection,"Resistance welding using embossed projections/dimples on workpiece to concentrate current density at predetermined weld locations. Choose when precise multi-point simultaneous welding, thicker materials than spot welding, or automated high-volume production needed. Projections deform/collapse during heating cycle. Requires pre-formed embossments unlike flat-surface spot welding."
7,Joining,Welding,Seam,"Continuous resistance welding using rotating wheel/roller electrodes creating uninterrupted leak-tight seams along overlap joints. Select for fuel tanks, hermetic containers, pipe longitudinal seams requiring liquid/gas-tight integrity. Produces continuous weld bead (vs discrete spots in spot welding). Higher production speed than intermittent spot welding for linear seams."
8,Joining,Welding,Upset welding,"Resistance heats abutting part ends to plastic/forging temperature then applies axial compression force to forge weld without melting. Choose for wire, bar, tube butt joints requiring 100% cross-sectional strength. Creates forged interface (not cast fusion zone), flash expelled at joint. Commonly used for chain links, reinforcing bar, tool steel joining."
9,Joining,Welding,Percussion,"Rapid capacitor discharge creates instantaneous arc (<10ms) melting interface surfaces which are immediately impact-forged together. Select for dissimilar metal joining, minimal heat-affected zone (<0.5mm), automated stud/fastener attachment. Extremely fast cycle (vs seconds for conventional arc), small localized heat input. Commonly used for weld studs to sheet metal."
10,Joining,Welding,Solid state welding,"Achieves atomic bonding through diffusion/plastic deformation under pressure at temperatures below melting point. Choose to preserve base metal microstructure, join dissimilar/reactive metals, avoid fusion defects (porosity, cracking). No liquid phase formation (vs fusion welding), no filler metal. Encompasses friction, ultrasonic, explosion, diffusion bonding variants."
11,Joining,Welding,Electron beam welding,"Focuses stream of accelerated electrons (60-150kV) in vacuum generating kinetic-to-thermal energy conversion for ultra-deep penetration welds (depth:width ratio 25:1). Select for thick sections (6-300mm single pass), reactive metals (Ti/Zr/Ta), aerospace precision joints. Vacuum environment mandatory (vs atmospheric processes), deeper penetration than laser, capital intensive equipment."
12,Joining,Welding,Laser welding,"Concentrates coherent monochromatic light beam (fiber/CO2/Nd:YAG) creating precise narrow fusion zone with minimal heat-affected zone. Choose for thin materials (<10mm optimal), high-speed automation (m/min), dissimilar metal combinations. Operates in air/shielding gas (vs EB vacuum requirement), shallower penetration than electron beam, non-contact process enables robotic integration."
13,Joining,Welding,Thermite,"Exothermic chemical reaction between metal oxide and aluminum powder generates superheated molten metal (~2500°C) gravity-poured into gap between parts. Select for field welding of railroad rails, large forgings, or remote repairs without power/equipment. Self-contained heat source (vs external energy), single-use ceramic molds, slow cooling. Equipment-free but requires mold preparation."
14,Joining,Welding,Induction,"Electromagnetic induction coil generates eddy currents (100kHz-10MHz) in conductive workpiece causing resistive heating for joining. Choose for automated tube/pipe seam welding, repetitive production, clean non-contact localized heating. Faster thermal cycles than torch, precise heat zone control, requires coil positioned near joint. Commonly used for continuous tube mill welding."
15,Joining,Welding,Solvent,"Chemical solvent temporarily softens/dissolves thermoplastic surfaces enabling molecular interdiffusion and bonding as solvent evaporates. Select for acrylic, PVC, polycarbonate, ABS assemblies requiring optical clarity or smooth invisible joints. Thermoplastics only (vs thermosets cannot re-soften), no external heat, thin solvent application along joint. Bond strength depends on polymer compatibility."
16,Joining,Welding,Magnetic pulse,"Electromagnetic coil generates ultra-high intensity pulsed magnetic field (<100μs) inducing eddy currents causing Lorentz force that accelerates workpiece to collision velocity (200-500m/s) creating solid-state impact weld. Choose for dissimilar metal tubular/sheet assemblies (Al-Cu, Al-steel), no heat input/distortion. High-speed cold forming process, specialized pulse power equipment required."
