"id:ID","brandNormalized","cpuNormalized","createdAt","description","gpuNormalized","name","price","ramNormalized","screenSize",":LABEL"
"laptop_thinkpad_x1_carbon_gen_10","Lenovo","i9","2025-07-31T22:07:41.387885","Fantastic Lenovo easy to carry laptop for daily usage and video editing. Perfect for professionals who need powerful performance in a lightweight design. Features advanced cooling system and premium build quality.","30xx","ThinkPad X1 Carbon Gen 10","2499.0","32GB","13","E_Laptop"
"laptop_thinkpad_t14s_gen_3","Lenovo","i7","2025-07-31T22:07:41.388889","Exceptional business laptop with robust security features and excellent keyboard. Ideal for office work, programming, and light content creation. Military-grade durability testing ensures reliability.","30xx","ThinkPad T14s Gen 3","1899.0","16GB","15","E_Laptop"
"laptop_thinkpad_p1_gen_5","Lenovo","i9","2025-07-31T22:07:41.388889","Ultimate workstation laptop for CAD, 3D rendering, and professional video editing. Features ISV certification and premium display technology. Built for demanding creative professionals and engineers.","40xx","ThinkPad P1 Gen 5","3299.0","64GB","16","E_Laptop"
"laptop_thinkpad_e15_gen_4","Lenovo","i5","2025-07-31T22:07:41.388889","Affordable business laptop with solid performance for everyday tasks. Great for small businesses and students. Includes essential security features and comfortable typing experience.","30xx","ThinkPad E15 Gen 4","1299.0","16GB","15","E_Laptop"
"laptop_thinkpad_x13_yoga","Lenovo","i7","2025-07-31T22:07:41.388889","Versatile 2-in-1 convertible laptop with touchscreen and pen support. Perfect for presentations, note-taking, and creative work. Premium build quality with flexible form factor.","30xx","ThinkPad X13 Yoga","2199.0","32GB","13","E_Laptop"
"laptop_xps_13_plus_developer_edition","Dell","i7","2025-07-31T22:07:41.388889","Stunning premium ultrabook with edge-to-edge display and minimalist design. Excellent for software development, content creation, and professional work. Outstanding build quality and performance.","40xx","XPS 13 Plus Developer Edition","2299.0","32GB","13","E_Laptop"
"laptop_xps_15_oled_creator","Dell","i9","2025-07-31T22:07:41.388889","Professional creator laptop with gorgeous OLED display and powerful specs. Perfect for video editing, 3D modeling, and graphic design. Premium materials and exceptional screen quality.","40xx","XPS 15 OLED Creator","3499.0","64GB","15","E_Laptop"
"laptop_xps_17_workstation","Dell","i9","2025-07-31T22:07:41.389394","Top-tier mobile workstation with massive screen and incredible performance. Ideal for professional video production, engineering, and high-end creative work. No compromises on power or quality.","50xx","XPS 17 Workstation","3899.0","64GB","16","E_Laptop"
"laptop_xps_13_2_in_1","Dell","i7","2025-07-31T22:07:41.389394","Elegant convertible laptop with premium materials and excellent portability. Great for business professionals and creative work. Versatile form factor with touch and pen support.","30xx","XPS 13 2-in-1","1999.0","16GB","13","E_Laptop"
"laptop_xps_15_studio","Dell","i9","2025-07-31T22:07:41.389394","High-performance laptop for content creators and professionals. Features color-accurate display and powerful internals. Perfect balance of performance and portability for creative workflows.","40xx","XPS 15 Studio","2899.0","32GB","15","E_Laptop"
"laptop_elitebook_840_g9","HP","i7","2025-07-31T22:07:41.389394","Secure business laptop with enterprise-grade features and excellent performance. Built for professionals who need reliability and security. Includes advanced management and connectivity options.","30xx","EliteBook 840 G9","1799.0","16GB","15","E_Laptop"
"laptop_elitebook_x360_1040_g9","HP","i7","2025-07-31T22:07:41.389394","Premium convertible business laptop with 360-degree hinge and touch display. Perfect for executives and mobile professionals. Combines elegance with powerful performance and security.","30xx","EliteBook x360 1040 G9","2399.0","32GB","13","E_Laptop"
"laptop_elitebook_850_g9","HP","i7","2025-07-31T22:07:41.389394","Large-screen business laptop with excellent performance and display quality. Ideal for data analysis, presentations, and multitasking. Features comprehensive security and management tools.","30xx","EliteBook 850 G9","2599.0","32GB","16","E_Laptop"
"laptop_elitebook_1030_x360_g4","HP","i5","2025-07-31T22:07:41.389394","Compact convertible laptop perfect for business travel and presentations. Lightweight design with solid performance. Great for sales professionals and consultants who are always on the move.","30xx","EliteBook 1030 x360 G4","1599.0","16GB","13","E_Laptop"
"laptop_elitebook_855_g8","HP","i7","2025-07-31T22:07:41.389394","Reliable business laptop with excellent battery life and performance. Features modern connectivity and security options. Perfect for knowledge workers and business professionals.","30xx","EliteBook 855 G8","2199.0","32GB","15","E_Laptop"
"laptop_macbook_pro_13_inch_m2","Apple","i7","2025-07-31T22:07:41.389394","Sleek and powerful MacBook with exceptional battery life and performance. Perfect for creative professionals and developers. Features stunning Retina display and premium build quality.","30xx","MacBook Pro 13-inch M2","1999.0","16GB","13","E_Laptop"
"laptop_macbook_pro_16_inch_m2_max","Apple","i9","2025-07-31T22:07:41.389394","Ultimate creative powerhouse with massive screen and incredible performance. Ideal for professional video editing, music production, and software development. Top-tier specifications and display.","50xx","MacBook Pro 16-inch M2 Max","3999.0","64GB","16","E_Laptop"
"laptop_macbook_air_m2","Apple","i5","2025-07-31T22:07:41.389394","Ultra-portable laptop with excellent performance and all-day battery life. Perfect for students and professionals who need mobility. Fanless design and silent operation.","30xx","MacBook Air M2","1499.0","16GB","13","E_Laptop"
